26, 11, 7, 6, 3, 4, 4, 4, 4, 2, 7, 3, 4, 2, 4, 2, 2, 4, 4, 3, 2, 2, 5, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 16, 18, 8, 18, 215, 22, 26, 25, 26, 37, 38, 24, 34, 29, 31, 29, 40, 26, 27, 24, 30, 33, 25, 25, 28, 26, 11, 20, 18, 23, 8, 10, 21, 17, 14, 18, 16, 16, 15, 15, 14, 13, 11, 12, 24, 2, 9, 7, 9, 7, 10, 8, 1, 1, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0
999, 1272, 1246, 1220, 1198, 1361, 1094, 1070, 1046, 1026, 1183, 1362, 1332, 1302, 1276, 1415, 1456, 1422, 1388, 1358, 1481, 1506, 1468, 1430, 1396, 1503, 1149, 1029, 1209, 1173, 1137, 1324, 909, 1049, 1041, 1005, 969, 1176, 1160, 1114, 1068, 1222, 1170, 1118, 1066, 1114, 273, 1383, 966, 944, 975, 924, 849, 697, 309, 559, 269, 454, 200, 353, 176, 159, 153, 181, 153, 107, 69, 37, 23, 27, 12, 3
41279, 40577, 39307, 38081, 39678, 94032, 106331, 102657, 99083, 98823, 93478, 104270, 100388, 96614, 96416, 79098, 86905, 83317, 79837, 79901, 66152, 72025, 68719, 65521, 64650, 54565, 52783, 23843, 46353, 43847, 41661, 24761, 20733, 36295, 34029, 31859, 30123, 34584, 32096, 29720, 27876, 28693, 26379, 24177, 22187, 12265, 3934, 16593, 16188, 18100, 17629, 17734, 13836, 3490, 2425, 1731, 1939, 2094, 1156, 1870, 912, 728, 578, 1604, 732, 425, 148, 118, 124, 51, 8, 1
