12, 14, 29, 105, 245, 689, 1609, 3744, 8819, 16216, 31891
2, 2, 2, 2, 2, 2, 2, 4, 5, 7, 8
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201, 1742522, 2944801, 4770026
205, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
1, 4, 14, 60, 228, 642, 1700, 3703, 7915, 17010, 33005
0, 0, 0, 1, 2, 2, 2, 4, 6, 10, 7
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201, 1742522, 2944801, 4770026
205, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 2, 15, 74, 215, 723, 1742, 3673, 8387, 17492, 31983
1, 1, 0, 1, 1, 2, 2, 4, 5, 7, 10
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201, 1742522, 2944801, 4770026
205, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 2, 14, 84, 251, 861, 1816, 3962, 9350, 16537, 31865
0, 1, 0, 1, 1, 1, 3, 4, 6, 8, 9
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201, 1742522, 2944801, 4770026
205, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
1, 4, 17, 58, 238, 851, 2009, 4161, 8735, 17503, 32383
0, 0, 0, 1, 1, 3, 3, 3, 6, 10, 8
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201, 1742522, 2944801, 4770026
205, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
1, 4, 14, 60, 210, 713, 1838, 3990, 8558, 18721, 32501
0, 0, 0, 1, 1, 1, 3, 4, 7, 9, 13
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201, 1742522, 2944801, 4770026
205, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 4, 20, 72, 277, 703, 1673, 3941, 8142, 16590, 34023
0, 0, 1, 0, 1, 2, 2, 3, 4, 8, 11
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201, 1742522, 2944801, 4770026
205, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 2, 13, 52, 265, 698, 1556, 4004, 7617, 14900, 27351
0, 0, 1, 0, 1, 2, 2, 3, 4, 5, 8
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201, 1742522, 2944801, 4770026
205, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
0, 3, 13, 55, 199, 583, 1587, 3635, 8968, 17460, 29076
0, 0, 0, 0, 1, 2, 2, 4, 5, 9, 8
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201, 1742522, 2944801, 4770026
205, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
1, 2, 17, 57, 246, 562, 1466, 3578, 9012, 15564, 34520
0, 0, 1, 0, 2, 1, 2, 3, 4, 5, 9
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201, 1742522, 2944801, 4770026
205, 536, 934, 1759, 3054, 4969, 7684, 11403, 16354, 22789, 30984
