13, 11, 28, 77, 239, 657, 1996, 3999
3, 2, 10, 14, 82, 75, 169, 356
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201
613, 2359, 6336, 13789, 26983, 47737, 78357, 121501
1, 3, 16, 63, 217, 670, 1615, 3873
0, 1, 3, 15, 34, 71, 227, 311
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201
613, 2359, 6336, 13789, 26983, 47737, 78357, 121501
1, 4, 15, 68, 219, 681, 1690, 3881
0, 1, 3, 12, 26, 80, 149, 325
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201
613, 2359, 6336, 13789, 26983, 47737, 78357, 121501
0, 3, 13, 63, 223, 660, 1622, 4129
1, 2, 5, 16, 33, 67, 167, 333
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201
613, 2359, 6336, 13789, 26983, 47737, 78357, 121501
1, 4, 21, 76, 272, 705, 1615, 5110
0, 0, 5, 13, 34, 67, 154, 418
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201
613, 2359, 6336, 13789, 26983, 47737, 78357, 121501
1, 3, 18, 81, 285, 803, 2017, 3831
0, 2, 4, 18, 42, 112, 182, 302
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201
613, 2359, 6336, 13789, 26983, 47737, 78357, 121501
1, 3, 22, 77, 271, 688, 1747, 4072
0, 2, 5, 15, 30, 99, 173, 314
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201
613, 2359, 6336, 13789, 26983, 47737, 78357, 121501
0, 3, 17, 58, 227, 668, 1651, 4138
1, 2, 5, 12, 29, 70, 184, 456
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201
613, 2359, 6336, 13789, 26983, 47737, 78357, 121501
1, 8, 16, 86, 278, 726, 1745, 3820
0, 1, 3, 17, 47, 94, 141, 368
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201
613, 2359, 6336, 13789, 26983, 47737, 78357, 121501
1, 2, 15, 64, 236, 639, 1660, 3731
0, 1, 3, 14, 33, 75, 172, 322
586, 3617, 14426, 44137, 112946, 254081, 518482, 980201
613, 2359, 6336, 13789, 26983, 47737, 78357, 121501
