7, 2, 4, 8, 8, 27, 43, 37, 77, 109, 193
0, 1, 1, 3, 1, 5, 1, 2, 3, 4, 3
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
44, 106, 163, 240, 331, 436, 555, 688, 835, 996, 1171
1, 0, 1, 3, 6, 12, 23, 32, 72, 104, 183
0, 1, 0, 0, 1, 1, 2, 2, 3, 3, 6
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
44, 106, 163, 240, 331, 436, 555, 688, 835, 996, 1171
0, 1, 1, 5, 6, 13, 29, 29, 79, 99, 164
0, 0, 1, 1, 0, 1, 2, 2, 4, 4, 5
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
44, 106, 163, 240, 331, 436, 555, 688, 835, 996, 1171
0, 1, 1, 3, 8, 16, 16, 39, 62, 125, 161
0, 0, 1, 1, 1, 2, 1, 3, 3, 4, 5
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
44, 106, 163, 240, 331, 436, 555, 688, 835, 996, 1171
1, 0, 0, 1, 5, 12, 19, 30, 77, 118, 197
0, 1, 1, 1, 1, 1, 1, 2, 3, 4, 7
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
44, 106, 163, 240, 331, 436, 555, 688, 835, 996, 1171
0, 0, 1, 3, 6, 12, 29, 50, 91, 97, 153
0, 0, 0, 0, 1, 1, 1, 3, 3, 4, 6
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
44, 106, 163, 240, 331, 436, 555, 688, 835, 996, 1171
0, 0, 1, 5, 9, 12, 18, 38, 75, 124, 158
0, 1, 0, 0, 0, 1, 1, 2, 3, 4, 6
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
44, 106, 163, 240, 331, 436, 555, 688, 835, 996, 1171
1, 0, 1, 2, 5, 12, 23, 40, 60, 118, 167
0, 0, 0, 0, 1, 1, 1, 1, 3, 4, 6
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
44, 106, 163, 240, 331, 436, 555, 688, 835, 996, 1171
0, 1, 1, 3, 6, 11, 24, 33, 71, 119, 169
0, 0, 0, 0, 0, 1, 1, 2, 3, 3, 17
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
44, 106, 163, 240, 331, 436, 555, 688, 835, 996, 1171
0, 0, 1, 4, 4, 10, 22, 42, 71, 122, 187
0, 0, 0, 0, 0, 1, 2, 2, 5, 6, 6
82, 257, 626, 1297, 2402, 4097, 6562, 10001, 14642, 20737, 28562
44, 106, 163, 240, 331, 436, 555, 688, 835, 996, 1171
