10977, 10164, 10122, 9059, 8682, 8331, 7757, 7578, 7569, 6722, 6241, 6050, 5540, 5266, 5031, 4756, 4750, 4110, 3919, 3644, 3439, 3484, 2990, 2807, 2512, 2398, 2237, 2129, 1857, 1713, 1825, 1616, 1426, 1312, 1145, 1043, 971, 851, 778, 660, 599, 520, 478, 414, 378, 317, 273, 233, 203, 172, 149, 130, 103, 86, 71, 56, 45, 36, 27, 23, 14, 14, 7, 5, 4, 2, 1, 0, 0, 1, 0, 0
728, 8010, 8790, 8831, 8280, 14211, 388, 2065, 10070, 9826, 10015, 17966, 1448, 6904, 12292, 11914, 11887, 18686, 7956, 4245, 7420, 7081, 7017, 10884, 4267, 2407, 2338, 2349, 2271, 3401, 1988, 126, 1254, 1278, 1242, 2165, 853, 544, 706, 704, 667, 617, 263, 90, 60, 155, 148, 197, 181, 179, 127, 65, 33, 81, 35, 30, 21, 11, 3, 11, 12, 17, 10, 6, 0, 0, 0, 1, 0, 0, 0, 1
2944801, 2823245, 2705081, 2590261, 2478737, 2370461, 2265385, 2163461, 2064641, 1968877, 1876121, 1786325, 1699441, 1615421, 1534217, 1455781, 1380065, 1307021, 1236601, 1168757, 1103441, 1040605, 980201, 922181, 866497, 813101, 761945, 712981, 666161, 621437, 578761, 538085, 499361, 462541, 427577, 394421, 363025, 333341, 305321, 278917, 254081, 230765, 208921, 188501, 169457, 151741, 135305, 120101, 106081, 93197, 81401, 70645, 60881, 52061, 44137, 37061, 30785, 25261, 20441, 16277, 12721, 9725, 7241, 5221, 3617, 2381, 1465, 821, 401, 157, 41, 3
257553, 2487555, 2790555, 2749757, 2709669, 4750946, 284928, 744131, 3285085, 3277121, 3269795, 7064956, 651010, 2589462, 4256110, 4222450, 4189452, 6755662, 2901846, 1841181, 2896189, 2867291, 2838977, 4381108, 1851807, 1250241, 1198875, 1174831, 1151335, 1758861, 1035145, 168098, 779449, 767723, 756315, 1400410, 737827, 601973, 704158, 679174, 654196, 897919, 395490, 150043, 133509, 259858, 255447, 284334, 293948, 311230, 251459, 135635, 62611, 160293, 81789, 64104, 43137, 22342, 6396, 21872, 20482, 31464, 15048, 11255, 2153, 1008, 702, 1392, 568, 148, 8, 1
12056, 10776, 10965, 9916, 9313, 8910, 8524, 8199, 7932, 7153, 6921, 6414, 6091, 5683, 5759, 5101, 4762, 4418, 4085, 3967, 3691, 3603, 3325, 2922, 2751, 2645, 2406, 2192, 2054, 1886, 1791, 1590, 1487, 1366, 1298, 1118, 1070, 886, 767, 685, 613, 535, 517, 432, 376, 345, 277, 237, 210, 177, 147, 125, 109, 89, 72, 57, 49, 40, 28, 19, 16, 11, 8, 6, 7, 2, 1, 1, 0, 1, 0, 0
1219, 8967, 9637, 9214, 9112, 15960, 445, 2002, 10703, 11289, 10581, 18694, 1567, 8190, 13377, 12727, 12514, 20972, 8322, 4671, 8031, 7871, 8277, 11406, 4503, 2626, 2544, 2479, 2461, 4036, 2085, 130, 1269, 1257, 1379, 2656, 849, 562, 709, 692, 684, 647, 285, 81, 65, 169, 156, 198, 182, 184, 134, 64, 31, 84, 36, 30, 20, 9, 3, 14, 12, 16, 8, 6, 1, 0, 0, 1, 0, 0, 0, 0
2944801, 2823245, 2705081, 2590261, 2478737, 2370461, 2265385, 2163461, 2064641, 1968877, 1876121, 1786325, 1699441, 1615421, 1534217, 1455781, 1380065, 1307021, 1236601, 1168757, 1103441, 1040605, 980201, 922181, 866497, 813101, 761945, 712981, 666161, 621437, 578761, 538085, 499361, 462541, 427577, 394421, 363025, 333341, 305321, 278917, 254081, 230765, 208921, 188501, 169457, 151741, 135305, 120101, 106081, 93197, 81401, 70645, 60881, 52061, 44137, 37061, 30785, 25261, 20441, 16277, 12721, 9725, 7241, 5221, 3617, 2381, 1465, 821, 401, 157, 41, 3
257553, 2487555, 2790555, 2749757, 2709669, 4750946, 284928, 744131, 3285085, 3277121, 3269795, 7064956, 651010, 2589462, 4256110, 4222450, 4189452, 6755662, 2901846, 1841181, 2896189, 2867291, 2838977, 4381108, 1851807, 1250241, 1198875, 1174831, 1151335, 1758861, 1035145, 168098, 779449, 767723, 756315, 1400410, 737827, 601973, 704158, 679174, 654196, 897919, 395490, 150043, 133509, 259858, 255447, 284334, 293948, 311230, 251459, 135635, 62611, 160293, 81789, 64104, 43137, 22342, 6396, 21872, 20482, 31464, 15048, 11255, 2153, 1008, 702, 1392, 568, 148, 8, 1
11055, 11044, 10648, 9999, 9316, 8903, 8595, 8164, 8236, 7264, 7143, 6352, 7091, 5724, 5361, 4995, 4714, 4363, 4053, 3872, 3723, 3460, 3217, 3063, 2743, 2630, 2430, 2224, 2361, 1933, 1717, 1609, 1445, 1349, 1215, 1094, 985, 881, 863, 728, 625, 618, 585, 434, 414, 375, 286, 268, 204, 180, 152, 128, 126, 88, 75, 58, 45, 42, 30, 22, 15, 11, 10, 6, 3, 2, 2, 1, 0, 0, 0, 0
697, 8720, 9880, 9037, 9769, 15459, 429, 2000, 11079, 10920, 11070, 19215, 1623, 7545, 12933, 12505, 12585, 19929, 8140, 4517, 7552, 7501, 7539, 12101, 4711, 2575, 2554, 2451, 2418, 3736, 1936, 142, 1286, 1307, 1246, 2241, 857, 600, 743, 685, 702, 754, 373, 129, 79, 162, 238, 204, 212, 194, 132, 80, 32, 88, 37, 32, 20, 12, 3, 11, 13, 17, 8, 5, 1, 0, 0, 0, 1, 0, 0, 0
